"","label","levels","not_sf94","S/F94"
"1","age_estimateyears","Median (IQR)","64.0 (51.0 to 78.0)","72.0 (57.0 to 83.0)"
"2","sex","Male","10137 (55.1)","63127 (55.2)"
"3","","Female","8261 (44.9)","51331 (44.8)"
"4","","Not specified","0 (0.0)","0 (0.0)"
"5","rr_vsorres","Median (IQR)","21.0 (18.0 to 26.0)","20.0 (18.0 to 25.0)"
"6","daily_temp_vsorres","Median (IQR)","37.4 (36.8 to 38.1)","37.3 (36.8 to 38.1)"
"7","systolic_vsorres","Median (IQR)","124.0 (108.0 to 143.0)","117.0 (104.0 to 138.0)"
"8","diastolic_vsorres","Median (IQR)","72.0 (62.0 to 82.0)","68.0 (58.0 to 79.0)"
"9","daily_crp_lborres","Median (IQR)","80.0 (38.0 to 142.7)","77.5 (34.3 to 145.0)"
"10","daily_bun_lborres","Median (IQR)","5.8 (4.2 to 8.5)","6.7 (4.7 to 10.3)"
"11","daily_creat_lborres","Median (IQR)","82.0 (68.0 to 105.0)","88.0 (70.0 to 119.0)"
"12","daily_urine_lborres","Median (IQR)","702.5 (300.0 to 1200.0)","500.0 (300.0 to 950.0)"
"13","daily_gcs_vsorres","Median (IQR)","15.0 (15.0 to 15.0)","15.0 (15.0 to 15.0)"
"14","clinical_frailty","Median (IQR)","3.0 (2.0 to 5.0)","4.0 (3.0 to 6.0)"
"15","onset2admission","Median (IQR)","5.0 (1.0 to 9.0)","3.0 (0.0 to 7.0)"
"16","infiltrates_faorres","YES","8486 (67.7)","41944 (63.4)"
"17","","NO","4056 (32.3)","24177 (36.6)"
"18","","N/A","0 (0.0)","0 (0.0)"
"19","severity_scale_ordinal","4","4488 (24.4)","62642 (54.6)"
"20","","5","9362 (50.8)","27450 (23.9)"
"21","","6","4140 (22.5)","21867 (19.1)"
"22","","7","136 (0.7)","296 (0.3)"
"23","","8","226 (1.2)","1598 (1.4)"
"24","","9","73 (0.4)","426 (0.4)"
"25","","10","0 (0.0)","388 (0.3)"
"26","mortality_28","0","18425 (100.0)","88651 (77.3)"
"27","","1","0 (0.0)","26017 (22.7)"
