"",".","V2"
"subjid",253427,0
"age_estimateyears",248931,4496
"sex",252866,561
"day_of_death",51600,201827
"day_of_discharge",172934,80493
"outcome",229223,24204
"mortality_28",253427,0
"sustained_1L_improvement",142020,111407
"sustained_2L_improvement",142020,111407
"who_days_to_improve1",32486,220941
"who_days_to_improve2",11381,242046
"sf94_day0",164047,89380
"sf94_day2",27431,225996
"sf94_day5",19659,233768
"sf94_day8",14147,239280
"sf94_day9",6041,247386
"sf94_day13",3334,250093
"sf94_day3",12677,240750
"sf94_day6",8966,244461
"sf94_day14",3736,249691
"sf94_day10",4459,248968
"sf94_day4",9669,243758
"sf94_day7",6829,246598
"sf94_day16",2349,251078
"sf94_day11",3999,249428
"sf94_day1",17468,235959
"sf94_day12",3439,249988
"sf94_day15",2960,250467
