"",".","V2"
"subjid",52964,0
"age_estimateyears",52964,0
"sex",52899,65
"day_of_death",10313,42651
"day_of_discharge",37428,15536
"outcome",48355,4609
"mortality_28",52964,0
"sustained_1L_improvement",36610,16354
"sustained_2L_improvement",36610,16354
"who_days_to_improve1",15580,37384
"who_days_to_improve2",6070,46894
"sf94_day0",46746,6218
"sf94_day4",2000,50964
"sf94_day7",940,52024
"sf94_day5",5561,47403
"sf94_day6",1646,51318
"sf94_day2",9485,43479
"sf94_day1",7489,45475
"sf94_day8",3631,49333
"sf94_day3",3295,49669
"sf94_day9",980,51984
"sf94_day12",467,52497
"sf94_day15",639,52325
"sf94_day13",659,52305
"sf94_day10",592,52372
"sf94_day11",518,52446
"sf94_day14",955,52009
"sf94_day16",423,52541
"sf94_day5_P",6704,46260
"sf94_day8_P",5528,47436
"who_day0",52963,1
"who_day5",8095,44869
"who_day8",5669,47295
"who_day5_P",9235,43729
"who_day8_P",7565,45399
