"","outcome_measure","treatment_effect","sample_size","sample_size_lcl","sample_size_ucl"
"1","28-day mortality",0.85,5905,5785,6030
"2","28-day mortality",0.8,3277,3211,3346
"3","28-day mortality",0.75,2068,2027,2111
"4","28-day mortality",0.7,1415,1387,1444
"5","S/F94 day 5",0.85,1546,1344,1772
"6","S/F94 day 5",0.8,854,750,1002
"7","S/F94 day 5",0.75,534,472,618
"8","S/F94 day 5",0.7,362,318,418
"9","WHO day 5",0.85,2923.54315852018,2884.8545429009,2962.45031141072
"10","WHO day 5",0.8,1563.41522330378,1545.31524596519,1584.39133609632
"11","WHO day 5",0.75,948.477651859459,937.74678833073,959.853317712932
"12","WHO day 5",0.7,622.324250288123,615.211668740647,629.573368338993
"13","Sustained 1 level improvement",0.85,5458.80811062059,2205.27482044222,7001.27841263961
"14","Sustained 1 level improvement",0.8,2966.30606130533,1198.48202708697,3790.86144324678
"15","Sustained 1 level improvement",0.75,1827.17899107858,738.635348789782,2251.96167952173
"16","Sustained 1 level improvement",0.7,1216.33565312491,491.543644790347,1494.89264124917
"17","Protocolised S/F94 day 5",0.85,662,582,760
"18","Protocolised S/F94 day 5",0.8,358,314,416
"19","Protocolised S/F94 day 5",0.75,220,192,258
"20","Protocolised S/F94 day 5",0.7,146,128,168
