"","outcome_measure","treatment_effect","effect_size","effect_size_lcl","effect_size_ucl"
"1","S/F94 day 5",0.85,0.177747317238571,0.166058498352011,0.190679974493029
"2","S/F94 day 5",0.8,0.239164012872377,0.220790688809793,0.255383276499067
"3","S/F94 day 5",0.75,0.302537410341549,0.281478367645339,0.32213470632634
"4","S/F94 day 5",0.7,0.368400456774348,0.342660400853696,0.39232807456559
"5","WHO day 5",0.85,0.832264652171245,0.831243100312869,0.83327294201629
"6","WHO day 5",0.8,0.77789760027255,0.776756059602172,0.779198002415601
"7","WHO day 5",0.75,0.724276423063106,0.722942288585528,0.725668808498488
"8","WHO day 5",0.7,0.671385875863667,0.669842244249845,0.672935662871437
"9","Sustained 1 level improvement",0.85,0.0265878537119791,0.0234679275425806,0.0419031488116527
"10","Sustained 1 level improvement",0.8,0.0361080424385349,0.0319255763307854,0.056919494270243
"11","Sustained 1 level improvement",0.75,0.0460538615741249,0.0414646563354981,0.0725851407722082
"12","Sustained 1 level improvement",0.7,0.0564982581721051,0.0509388294423435,0.0890514102445496
"13","Protocolised S/F94 day 5",0.85,0.174228539710156,0.162500170779203,0.185889043890269
"14","Protocolised S/F94 day 5",0.8,0.236801123022854,0.219782845717697,0.252917165256398
"15","Protocolised S/F94 day 5",0.75,0.30228793694336,0.279369980478591,0.324340819379389
"16","Protocolised S/F94 day 5",0.7,0.37118339994747,0.346179530843583,0.397414403142823
