"",".","V2"
"subjid",100915,0
"age_estimateyears",100915,0
"sex",100797,118
"day_of_death",14422,86493
"day_of_discharge",76578,24337
"outcome",92477,8438
"mortality_28",100915,0
"sustained_1L_improvement",63089,37826
"sustained_2L_improvement",63089,37826
"who_days_to_improve1",18279,82636
"who_days_to_improve2",7102,93813
"sf94_day0",91400,9515
"sf94_day4",2635,98280
"sf94_day7",1297,99618
"sf94_day5",7793,93122
"sf94_day6",2351,98564
"sf94_day2",12450,88465
"sf94_day1",8589,92326
"sf94_day8",5208,95707
"sf94_day3",4342,96573
"sf94_day9",1394,99521
"sf94_day12",651,100264
"sf94_day15",791,100124
"sf94_day13",811,100104
"sf94_day10",846,100069
"sf94_day11",745,100170
"sf94_day14",1169,99746
"sf94_day16",535,100380
"sf94_day5_P",10977,89938
"sf94_day8_P",9433,91482
"who_day0",99423,1492
"who_day5",12534,88381
"who_day8",8796,92119
"who_day5_P",15704,85211
"who_day8_P",13011,87904
