"",".","V2"
"subjid",56777,0
"age_estimateyears",56777,0
"sex",56708,69
"day_of_death",11088,45689
"day_of_discharge",40252,16525
"outcome",51979,4798
"mortality_28",56777,0
"sustained_1L_improvement",40423,16354
"sustained_2L_improvement",40423,16354
"who_days_to_improve1",17079,39698
"who_days_to_improve2",6637,50140
"sf94_day0",49174,7603
"sf94_day4",2134,54643
"sf94_day7",999,55778
"sf94_day5",6675,50102
"sf94_day6",1749,55028
"sf94_day2",11659,45118
"sf94_day1",8303,48474
"sf94_day8",4357,52420
"sf94_day3",3445,53332
"sf94_day9",1046,55731
"sf94_day12",504,56273
"sf94_day15",698,56079
"sf94_day13",692,56085
"sf94_day10",640,56137
"sf94_day11",580,56197
"sf94_day14",1023,55754
"sf94_day16",449,56328
"sf94_day5_P",7877,48900
"sf94_day8_P",6387,50390
"who_day0",56109,668
"who_day5",9774,47003
"who_day8",6832,49945
"who_day5_P",10971,45806
"who_day8_P",8859,47918
