"","variable","n_miss","pct_miss"
"1","sf94_day16",15081,98.7364148225743
"2","sf94_day15",15068,98.6513028676182
"3","sf94_day14",14960,97.9442189341364
"4","sf94_day13",14940,97.8132774649732
"5","sf94_day12",14925,97.7150713631007
"6","sf94_day7",14834,97.1192876784077
"7","sf94_day10",14797,96.8770459604557
"8","sf94_day11",14775,96.7330103443761
"9","sf94_day9",14735,96.4711274060495
"10","sf94_day4",14717,96.3532800838025
"11","sf94_day6",14714,96.333638863428
"12","sf94_day3",14594,95.5479900484483
"13","sf94_day1",14480,94.8016236742176
"14","who_days_to_improve2",13326,87.2463009034961
"15","who_days_to_improve1",10756,70.4203221160141
"16","day_of_death",10730,70.2500982061019
"17","sf94_day5",9275,60.724106324473
"18","sf94_day2",9107,59.6241979835014
"19","sf94_day5_P",8693,56.9137095718214
"20","who_day5",7581,49.6333638863428
"21","who_day5_P",7581,49.6333638863428
"22","sf94_day8",6563,42.9684431059316
"23","who_day8",6511,42.6279952861071
"24","who_day8_P",6511,42.6279952861071
"25","day_of_discharge",5215,34.1429880843263
"26","sf94_day0",3331,21.808301689145
"27","sustained_1L_improvement",2494,16.3284012046615
"28","sustained_2L_improvement",2494,16.3284012046615
"29","outcome",639,4.18357993976692
"30","who_day0",544,3.56160796124133
"31","age_estimateyears",491,3.21461306795862
"32","dsterm",65,0.425559774780673
"33","sex",23,0.150582689537777
"34","subjid",0,0
"35","mortality_28",0,0
"36","sf94_day8_P",0,0
