"",".","V2"
"subjid",69464,0
"age_estimateyears",69464,0
"sex",69371,93
"day_of_death",11418,58046
"day_of_discharge",50607,18857
"dsterm",67755,1709
"outcome",62541,6923
"mortality_28",69464,0
"sustained_1L_improvement",47260,22204
"sustained_2L_improvement",47260,22204
"who_days_to_improve1",14561,54903
"who_days_to_improve2",5851,63613
"sf94_day0",61907,7557
"sf94_day4",1912,67552
"sf94_day7",1008,68456
"sf94_day5",7209,62255
"sf94_day6",1935,67529
"sf94_day2",10733,58731
"sf94_day1",5179,64285
"sf94_day8",4908,64556
"sf94_day3",3239,66225
"sf94_day9",1182,68282
"sf94_day12",542,68922
"sf94_day15",542,68922
"sf94_day13",586,68878
"sf94_day10",677,68787
"sf94_day11",591,68873
"sf94_day14",866,68598
"sf94_day16",389,69075
"sf94_day5_P",9951,59513
"sf94_day8_P",8792,60672
"who_day0",68309,1155
"who_day5",11272,58192
"who_day8",8031,61433
"who_day5_P",14004,55460
"who_day8_P",11881,57583
