"","variable","n_miss","pct_miss"
"1","sf94_day16",17086,98.9231125521075
"2","sf94_day15",17072,98.8420565076424
"3","sf94_day14",16969,98.2457156090783
"4","sf94_day13",16940,98.0778138026864
"5","sf94_day12",16932,98.0314960629921
"6","sf94_day10",16837,97.4814729041223
"7","sf94_day11",16788,97.1977767484947
"8","sf94_day9",16751,96.9835572024085
"9","sf94_day7",16664,96.479851783233
"10","sf94_day6",16544,95.7850856878184
"11","sf94_day4",16539,95.7561371005095
"12","sf94_day1",16408,94.9976841130153
"13","sf94_day3",16406,94.9861046780917
"14","who_days_to_improve2",15014,86.926817971283
"15","who_days_to_improve1",11843,68.5676238999537
"16","day_of_death",11679,67.6181102362205
"17","sf94_day8",11588,67.0912459471978
"18","sf94_day8_P",10744,62.2047244094488
"19","who_day8",9733,56.3513200555813
"20","sf94_day2",8918,51.6327003242242
"21","who_day8_P",8897,51.5111162575266
"22","day_of_discharge",6440,37.2857804539138
"23","sf94_day5",4621,26.7542843909217
"24","who_day5",4591,26.5805928670681
"25","sf94_day0",4236,24.5252431681334
"26","sustained_1L_improvement",2054,11.8920796665123
"27","sustained_2L_improvement",2054,11.8920796665123
"28","outcome",806,4.66651227420102
"29","who_day0",649,3.75752663270032
"30","age_estimateyears",511,2.9585456229736
"31","sex",32,0.185270958777212
"32","subjid",0,0
"33","mortality_28",0,0
"34","sf94_day5_P",0,0
"35","who_day5_P",0,0
