"","outcome_measure","treatment_effect","sample_size","sample_size_lcl","sample_size_ucl"
"1","28-day mortality",0.85,5178,5059,5301
"2","28-day mortality",0.8,2876,2810,2944
"3","28-day mortality",0.75,1817,1775,1859
"4","28-day mortality",0.7,1244,1216,1273
"5","S/F94 day 5",0.85,1432,1250,1668
"6","S/F94 day 5",0.8,798,702,926
"7","S/F94 day 5",0.75,502,438,578
"8","S/F94 day 5",0.7,342,298,396
"9","WHO day 5",0.85,2979.31413870235,2944.75801923323,3018.48564882496
"10","WHO day 5",0.8,1592.19253587439,1572.95298512141,1611.88535312536
"11","WHO day 5",0.75,965.268961174,954.424672881531,976.614415787607
"12","WHO day 5",0.7,632.877782221693,625.663957139911,639.828293886596
"13","Sustained 1 level improvement",0.85,5420.99075458855,2213.30974830363,7142.44629221715
"14","Sustained 1 level improvement",0.8,2955.69300828142,1208.22708601958,3888.946185187
"15","Sustained 1 level improvement",0.75,1826.53750750078,746.691666833926,2396.98159071811
"16","Sustained 1 level improvement",0.7,1219.7122964001,498.658812232976,1601.79368215616
"17","Protocolised S/F94 day 5",0.85,598,522,696
"18","Protocolised S/F94 day 5",0.8,326,286,384
"19","Protocolised S/F94 day 5",0.75,202,176,234
"20","Protocolised S/F94 day 5",0.7,134,118,156
