"","variable","n_miss","pct_miss"
"1","sf94_day16",15156,98.742589093752
"2","sf94_day15",15142,98.6513779399309
"3","sf94_day14",15034,97.9477490390253
"4","sf94_day13",15015,97.8239624731253
"5","sf94_day12",15000,97.7262362368884
"6","sf94_day7",14892,97.0226073359828
"7","sf94_day10",14869,96.8727604404196
"8","sf94_day11",14851,96.7554889569353
"9","sf94_day9",14807,96.4688253306404
"10","sf94_day4",14803,96.4427650009773
"11","sf94_day6",14800,96.4232197537299
"12","sf94_day3",14681,95.6479249462506
"13","sf94_day1",14560,94.8595999739397
"14","who_days_to_improve2",13733,89.4716268160792
"15","who_days_to_improve1",11275,73.4575542380611
"16","day_of_death",10807,70.4084956674702
"17","sf94_day5",9315,60.6879927031077
"18","sf94_day2",9202,59.9517883901231
"19","sf94_day5_P",8761,57.0786370447586
"20","who_day5",7599,49.5081112776077
"21","who_day5_P",7047,45.9117857840902
"22","sf94_day8",6616,43.1037852628836
"23","who_day8",6582,42.8822724607466
"24","day_of_discharge",5211,33.950094468695
"25","sf94_day0",3322,21.6431037852629
"26","sustained_1L_improvement",2565,16.7111863965079
"27","sustained_2L_improvement",2565,16.7111863965079
"28","outcome",637,4.15010749885986
"29","who_day0",552,3.59632549351749
"30","age_estimateyears",503,3.27708645514366
"31","sex",27,0.175907225226399
"32","subjid",0,0
"33","mortality_28",0,0
"34","sf94_day8_P",0,0
"35","who_day8_P",0,0
