"",".","V2"
"subjid",187232,0
"age_estimateyears",183605,3627
"sex",186745,487
"day_of_death",43290,143942
"day_of_discharge",121021,66211
"outcome",166164,21068
"mortality_28",187232,0
"sustained_1L_improvement",114128,73104
"sustained_2L_improvement",114128,73104
"who_days_to_improve1",25368,161864
"who_days_to_improve2",8846,178386
"sf94_day0",119958,67274
"sf94_day2",23818,163414
"sf94_day5",17718,169514
"sf94_day8",12975,174257
"sf94_day9",5138,182094
"sf94_day13",2714,184518
"sf94_day3",9880,177352
"sf94_day6",7423,179809
"sf94_day14",3065,184167
"sf94_day10",3639,183593
"sf94_day4",7478,179754
"sf94_day7",5511,181721
"sf94_day16",1937,185295
"sf94_day11",3302,183930
"sf94_day1",11606,175626
"sf94_day12",2877,184355
"sf94_day15",2338,184894
