"","variable","n_miss","pct_miss"
"1","sf94_day16",15081,98.7364148225743
"2","sf94_day15",15067,98.64475579416
"3","sf94_day14",14961,97.9507660075946
"4","sf94_day13",14938,97.8001833180568
"5","sf94_day12",14924,97.7085242896425
"6","sf94_day7",14821,97.0341757234516
"7","sf94_day10",14795,96.8639518135393
"8","sf94_day11",14776,96.7395574178342
"9","sf94_day9",14735,96.4711274060495
"10","sf94_day6",14724,96.3991095980097
"11","sf94_day4",14717,96.3532800838025
"12","sf94_day3",14566,95.3646719916197
"13","sf94_day1",14493,94.8867356291738
"14","who_days_to_improve2",13365,87.5016367683645
"15","who_days_to_improve1",10740,70.3155689406835
"16","day_of_death",10730,70.2500982061019
"17","sf94_day5",9257,60.606259002226
"18","sf94_day2",9166,60.0104753175331
"19","sf94_day5_P",8673,56.7827681026581
"20","who_day5",7534,49.3256514338091
"21","who_day5_P",6955,45.534895901532
"22","sf94_day8",6563,42.9684431059316
"23","who_day8",6530,42.7523896818122
"24","day_of_discharge",5215,34.1429880843263
"25","sf94_day0",3314,21.6970014403562
"26","sustained_1L_improvement",2545,16.6623019510279
"27","sustained_2L_improvement",2545,16.6623019510279
"28","outcome",639,4.18357993976692
"29","who_day0",532,3.48304307974335
"30","age_estimateyears",505,3.30627209637292
"31","sex",24,0.157129762995941
"32","subjid",0,0
"33","mortality_28",0,0
"34","sf94_day8_P",0,0
"35","who_day8_P",0,0
