"","variable","n_miss","pct_miss"
"1","sf94_day16",17086,98.9231125521075
"2","sf94_day15",17072,98.8420565076424
"3","sf94_day14",16969,98.2457156090783
"4","sf94_day13",16938,98.0662343677628
"5","sf94_day12",16932,98.0314960629921
"6","sf94_day10",16837,97.4814729041223
"7","sf94_day11",16789,97.2035664659565
"8","sf94_day9",16752,96.9893469198703
"9","sf94_day7",16665,96.4856415006948
"10","sf94_day6",16544,95.7850856878184
"11","sf94_day4",16527,95.6866604909681
"12","sf94_day1",16414,95.032422417786
"13","sf94_day3",16397,94.9339972209356
"14","who_days_to_improve2",15008,86.8920796665123
"15","delta_sf94_8_0",12568,72.7651690597499
"16","who_days_to_improve1",11819,68.4286706808708
"17","day_of_death",11679,67.6181102362205
"18","sf94_day8",11588,67.0912459471978
"19","sf94_day8_P",10709,62.0020842982862
"20","sf94_day2",8901,51.5342751273738
"21","day_of_discharge",6440,37.2857804539138
"22","sf94_day5",4621,26.7542843909217
"23","sf94_day0",4235,24.5194534506716
"24","delta_sf94_5_0",4235,24.5194534506716
"25","sustained_1L_improvement",2011,11.6431218156554
"26","sustained_2L_improvement",2011,11.6431218156554
"27","outcome",806,4.66651227420102
"28","age_estimateyears",530,3.06855025474757
"29","sex",34,0.196850393700787
"30","subjid",0,0
"31","mortality_28",0,0
"32","sf94_day5_P",0,0
